"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1082","TC_PS_014 - Verify page remains stable after multiple searches","firefox","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","468","TC_PD_011 - Verify keyboard navigation support","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","492","TC_RB_008 - Verify no excessive horizontal scroll on mobile","firefox","2026-06-04","passed","2026-06-04","Responsive & Cross Browser UI","Responsive-CrossBrowserUI.spec.js","",""
"","2026","TC_PD_007 - Verify page remains interactive","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","593","TC_PD_012 - Verify page performance","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","494","TC_API_002 - Verify products API returns status 200","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","675","TC_CF_013 - Verify checkout page responds to button clicks","chromium","2026-06-04","passed","2026-06-04","Checkout Flow Functionality","CheckoutFlow.spec.js","",""
"","375","TC_API_015 - Verify API content-type header","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
"","577","TC_PS_014 - Verify page remains stable after multiple searches","chromium","2026-06-04","passed","2026-06-04","Product Search Functionality","Productsearch.spec.js","",""
"","533","TC_PD_003 - Verify page contains product-related information","firefox","2026-06-04","passed","2026-06-04","Product Details Functionality","ProductDetails.spec.js","",""
"","1164","TC_AR_016 - Multiple invalid login attempts","firefox","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","772","TC_AR_004 - Verify email field visibility","chromium","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","784","TC_AR_010 - Empty password validation","firefox","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","805","TC_AR_005 - Verify password field visibility","firefox","2026-06-04","passed","2026-06-04","Authentication - Practice Software Testing","Authentication.spec.js","",""
"","397","TC_API_006 - Verify single product API returns status 200","firefox","2026-06-04","passed","2026-06-04","API & Network Validation","APINetwork.spec.js","",""
